venue,sports,date_start,date_end,tag,url
Aquatics Centre,"['Artistic Swimming', 'Diving', 'Water Polo']",2024-07-27T09:00:00Z,2024-08-10T20:00:00Z,aquatics-centre,https://olympics.com/en/paris-2024/venues/aquatics-centre
Bercy Arena,"['Artistic Gymnastics', 'Basketball', 'Trampoline']",2024-07-27T09:00:00Z,2024-08-11T16:00:00Z,bercy-arena,https://olympics.com/en/paris-2024/venues/bercy-arena
Bordeaux Stadium,['Football'],2024-07-25T17:00:00Z,2024-08-02T21:59:00Z,bordeaux-stadium,https://olympics.com/en/paris-2024/venues/bordeaux-stadium
Champ de Mars Arena,"['Judo', 'Wrestling']",2024-07-27T08:00:00Z,2024-08-11T12:00:00Z,champ-de-mars-arena,https://olympics.com/en/paris-2024/venues/champ-de-mars-arena
Château de Versailles,"['Equestrian', 'Modern Pentathlon']",2024-07-27T07:30:00Z,2024-08-11T11:30:00Z,chateau-de-versailles,https://olympics.com/en/paris-2024/venues/chateau-de-versailles
Chateauroux Shooting Centre,['Shooting'],2024-07-27T07:00:00Z,2024-08-05T14:35:00Z,chateauroux-shooting-centre,https://olympics.com/en/paris-2024/venues/chateauroux-shooting-centre
Eiffel Tower Stadium,['Beach Volleyball'],2024-07-27T12:00:00Z,2024-08-10T21:59:00Z,eiffel-tower-stadium,https://olympics.com/en/paris-2024/venues/eiffel-tower-stadium
Elancourt Hill,['Cycling Mountain Bike'],2024-07-28T12:00:00Z,2024-07-29T14:30:00Z,elancourt-hill,https://olympics.com/en/paris-2024/venues/elancourt-hill
Geoffroy-Guichard Stadium,['Football'],2024-07-25T13:00:00Z,2024-07-31T19:00:00Z,geoffroy-guichard-stadium,https://olympics.com/en/paris-2024/venues/geoffroy-guichard-stadium
Grand Palais,"['Fencing', 'Taekwondo']",2024-07-27T08:00:00Z,2024-08-10T21:00:00Z,grand-palais,https://olympics.com/en/paris-2024/venues/grand-palais
Hôtel de Ville,['Athletics'],2024-08-10T06:00:00Z,2024-08-11T09:15:00Z,hotel-de-ville,https://olympics.com/en/paris-2024/venues/hotel-de-ville
Invalides,"['Archery', 'Athletics', 'Cycling Road']",2024-07-25T07:30:00Z,2024-08-04T13:20:00Z,invalides,https://olympics.com/en/paris-2024/venues/invalides
La Beaujoire Stadium,['Football'],2024-07-25T15:00:00Z,2024-08-08T18:00:00Z,la-beaujoire-stadium,https://olympics.com/en/paris-2024/venues/la-beaujoire-stadium
La Concorde,"['3x3 Basketball', 'Breaking', 'Cycling BMX Freestyle', 'Skateboarding']",2024-07-27T10:00:00Z,2024-08-10T20:00:00Z,la-concorde,https://olympics.com/en/paris-2024/venues/la-concorde
Le Bourget Sport Climbing Venue,['Sport Climbing'],2024-08-05T08:00:00Z,2024-08-10T11:20:00Z,le-bourget-climbing-venue,https://olympics.com/en/paris-2024/venues/le-bourget-climbing-venue
Golf National,['Golf'],2024-08-01T07:00:00Z,2024-08-10T16:30:00Z,le-golf-national,https://olympics.com/en/paris-2024/venues/le-golf-national
Lyon Stadium,['Football'],2024-07-25T17:00:00Z,2024-08-09T16:00:00Z,lyon-stadium,https://olympics.com/en/paris-2024/venues/lyon-stadium
Marseille Marina,['Sailing'],2024-07-28T09:00:00Z,2024-08-08T17:00:00Z,marseille-marina,https://olympics.com/en/paris-2024/venues/marseille-marina
Marseille Stadium,['Football'],2024-07-25T19:00:00Z,2024-08-06T21:59:00Z,marseille-stadium,https://olympics.com/en/paris-2024/venues/marseille-stadium
Nice Stadium,['Football'],2024-07-25T15:00:00Z,2024-08-31T21:00:00Z,nice-stadium,https://olympics.com/en/paris-2024/venues/nice-stadium
North Paris Arena,"['Boxing', 'Modern Pentathlon']",2024-07-27T13:30:00Z,2024-08-08T15:30:00Z,north-paris-arena,https://olympics.com/en/paris-2024/venues/north-paris-arena
Parc des Princes,['Football'],2024-07-25T13:00:00Z,2024-08-10T18:30:00Z,parc-des-princes,https://olympics.com/en/paris-2024/venues/parc-des-princes
Paris La Defense Arena,"['Swimming', 'Water Polo']",2024-07-27T09:00:00Z,2024-08-11T13:50:00Z,paris-la-defense-arena,https://olympics.com/en/paris-2024/venues/paris-la-defense-arena
Pierre Mauroy Stadium,"['Basketball', 'Handball']",2024-07-27T09:00:00Z,2024-08-11T14:00:00Z,pierre-mauroy-stadium,https://olympics.com/en/paris-2024/venues/pierre-mauroy-stadium
Pont Alexandre III,"['Cycling Road', 'Marathon Swimming', 'Triathlon']",2024-07-30T06:00:00Z,2024-08-09T08:30:00Z,pont-alexandre-iii,https://olympics.com/en/paris-2024/venues/pont-alexandre-iii
Porte de La Chapelle Arena,"['Badminton', 'Rhythmic Gymnastics']",2024-07-27T06:30:00Z,2024-08-10T13:45:00Z,porte-de-la-chapelle-arena,https://olympics.com/en/paris-2024/venues/porte-de-la-chapelle-arena
Stade Roland-Garros,"['Boxing', 'Tennis']",2024-07-27T10:00:00Z,2024-08-10T21:30:00Z,roland-garros-stadium,https://olympics.com/en/paris-2024/venues/roland-garros-stadium
Saint-Quentin-en-Yvelines BMX Stadium,['Cycling BMX Racing'],2024-08-01T18:00:00Z,2024-08-02T20:30:00Z,saint-quentin-en-yvelines-bmx-stadium,https://olympics.com/en/paris-2024/venues/saint-quentin-en-yvelines-bmx-stadium
Saint-Quentin-en-Yvelines Velodrome,['Cycling Track '],2024-08-05T15:00:00Z,2024-08-11T12:40:00Z,saint-quentin-en-yvelines-velodrome,https://olympics.com/en/paris-2024/venues/saint-quentin-en-yvelines-velodrome
South Paris Arena,"['Handball', 'Table Tennis', 'Volleyball', 'Weightlifting']",2024-07-25T07:00:00Z,2024-08-11T13:45:00Z,south-paris-arena,https://olympics.com/en/paris-2024/venues/south-paris-arena
Stade de France,"['Athletics', 'Rugby Sevens']",2024-07-24T13:30:00Z,2024-08-10T20:30:00Z,stade-de-france,https://olympics.com/en/paris-2024/venues/stade-de-france
"Teahupo'o, Tahiti",['Surfing'],2024-07-27T17:00:00Z,2024-07-31T03:15:00Z,teahupo-o-tahiti,https://olympics.com/en/paris-2024/venues/teahupo-o-tahiti
Trocadéro,"['Athletics', 'Cycling Road']",2024-08-01T05:30:00Z,2024-08-07T08:50:00Z,trocadero,https://olympics.com/en/paris-2024/venues/trocadero
Vaires-sur-Marne Nautical Stadium,"['Canoe Slalom', 'Canoe Sprint', 'Rowing']",,,vaires-sur-marne-nautical-stadium,https://olympics.com/en/paris-2024/venues/vaires-sur-marne-nautical-stadium
Yves-du-Manoir Stadium,['Hockey'],2024-07-27T08:00:00Z,2024-08-09T20:30:00Z,yves-du-manoir-stadium,https://olympics.com/en/paris-2024/venues/yves-du-manoir-stadium
