Entity,Code,Year,World regions according to OWID,time
Afghanistan,AFG,2023,Asia,2023
Albania,ALB,2023,Europe,2023
Algeria,DZA,2023,Africa,2023
Andorra,AND,2023,Europe,2023
Angola,AGO,2023,Africa,2023
Antigua and Barbuda,ATG,2023,North America,2023
Argentina,ARG,2023,South America,2023
Armenia,ARM,2023,Asia,2023
Australia,AUS,2023,Oceania,2023
Austria,AUT,2023,Europe,2023
Azerbaijan,AZE,2023,Asia,2023
Bahamas,BHS,2023,North America,2023
Bahrain,BHR,2023,Asia,2023
Bangladesh,BGD,2023,Asia,2023
Barbados,BRB,2023,North America,2023
Belarus,BLR,2023,Europe,2023
Belgium,BEL,2023,Europe,2023
Belize,BLZ,2023,North America,2023
Benin,BEN,2023,Africa,2023
Bhutan,BTN,2023,Asia,2023
Bolivia,BOL,2023,South America,2023
Bosnia and Herzegovina,BIH,2023,Europe,2023
Botswana,BWA,2023,Africa,2023
Brazil,BRA,2023,South America,2023
Brunei,BRN,2023,Asia,2023
Bulgaria,BGR,2023,Europe,2023
Burkina Faso,BFA,2023,Africa,2023
Burundi,BDI,2023,Africa,2023
Cambodia,KHM,2023,Asia,2023
Cameroon,CMR,2023,Africa,2023
Canada,CAN,2023,North America,2023
Cape Verde,CPV,2023,Africa,2023
Central African Republic,CAF,2023,Africa,2023
Chad,TCD,2023,Africa,2023
Chile,CHL,2023,South America,2023
China,CHN,2023,Asia,2023
Colombia,COL,2023,South America,2023
Comoros,COM,2023,Africa,2023
Congo,COG,2023,Africa,2023
Costa Rica,CRI,2023,North America,2023
Cote d'Ivoire,CIV,2023,Africa,2023
Croatia,HRV,2023,Europe,2023
Cuba,CUB,2023,North America,2023
Cyprus,CYP,2023,Europe,2023
Czechia,CZE,2023,Europe,2023
Democratic Republic of Congo,COD,2023,Africa,2023
Denmark,DNK,2023,Europe,2023
Djibouti,DJI,2023,Africa,2023
Dominica,DMA,2023,North America,2023
Dominican Republic,DOM,2023,North America,2023
East Timor,TLS,2023,Asia,2023
Ecuador,ECU,2023,South America,2023
Egypt,EGY,2023,Africa,2023
El Salvador,SLV,2023,North America,2023
Equatorial Guinea,GNQ,2023,Africa,2023
Eritrea,ERI,2023,Africa,2023
Estonia,EST,2023,Europe,2023
Eswatini,SWZ,2023,Africa,2023
Ethiopia,ETH,2023,Africa,2023
Fiji,FJI,2023,Oceania,2023
Finland,FIN,2023,Europe,2023
France,FRA,2023,Europe,2023
French Guiana,GUF,2023,South America,2023
Gabon,GAB,2023,Africa,2023
Gambia,GMB,2023,Africa,2023
Georgia,GEO,2023,Asia,2023
Germany,DEU,2023,Europe,2023
Ghana,GHA,2023,Africa,2023
Greece,GRC,2023,Europe,2023
Greenland,GRL,2023,North America,2023
Grenada,GRD,2023,North America,2023
Guatemala,GTM,2023,North America,2023
Guinea,GIN,2023,Africa,2023
Guinea-Bissau,GNB,2023,Africa,2023
Guyana,GUY,2023,South America,2023
Haiti,HTI,2023,North America,2023
Honduras,HND,2023,North America,2023
Hungary,HUN,2023,Europe,2023
Iceland,ISL,2023,Europe,2023
India,IND,2023,Asia,2023
Indonesia,IDN,2023,Asia,2023
Iran,IRN,2023,Asia,2023
Iraq,IRQ,2023,Asia,2023
Ireland,IRL,2023,Europe,2023
Israel,ISR,2023,Asia,2023
Italy,ITA,2023,Europe,2023
Jamaica,JAM,2023,North America,2023
Japan,JPN,2023,Asia,2023
Jordan,JOR,2023,Asia,2023
Kazakhstan,KAZ,2023,Asia,2023
Kenya,KEN,2023,Africa,2023
Kiribati,KIR,2023,Oceania,2023
Kosovo,OWID_KOS,2023,Europe,2023
Kuwait,KWT,2023,Asia,2023
Kyrgyzstan,KGZ,2023,Asia,2023
Laos,LAO,2023,Asia,2023
Latvia,LVA,2023,Europe,2023
Lebanon,LBN,2023,Asia,2023
Lesotho,LSO,2023,Africa,2023
Liberia,LBR,2023,Africa,2023
Libya,LBY,2023,Africa,2023
Liechtenstein,LIE,2023,Europe,2023
Lithuania,LTU,2023,Europe,2023
Luxembourg,LUX,2023,Europe,2023
Madagascar,MDG,2023,Africa,2023
Malawi,MWI,2023,Africa,2023
Malaysia,MYS,2023,Asia,2023
Maldives,MDV,2023,Asia,2023
Mali,MLI,2023,Africa,2023
Malta,MLT,2023,Europe,2023
Marshall Islands,MHL,2023,Oceania,2023
Mauritania,MRT,2023,Africa,2023
Mauritius,MUS,2023,Africa,2023
Mexico,MEX,2023,North America,2023
Micronesia (country),FSM,2023,Oceania,2023
Moldova,MDA,2023,Europe,2023
Monaco,MCO,2023,Europe,2023
Mongolia,MNG,2023,Asia,2023
Montenegro,MNE,2023,Europe,2023
Morocco,MAR,2023,Africa,2023
Mozambique,MOZ,2023,Africa,2023
Myanmar,MMR,2023,Asia,2023
Namibia,NAM,2023,Africa,2023
Nauru,NRU,2023,Oceania,2023
Nepal,NPL,2023,Asia,2023
Netherlands,NLD,2023,Europe,2023
New Caledonia,NCL,2023,Oceania,2023
New Zealand,NZL,2023,Oceania,2023
Nicaragua,NIC,2023,North America,2023
Niger,NER,2023,Africa,2023
Nigeria,NGA,2023,Africa,2023
North Korea,PRK,2023,Asia,2023
North Macedonia,MKD,2023,Europe,2023
Norway,NOR,2023,Europe,2023
Oman,OMN,2023,Asia,2023
Pakistan,PAK,2023,Asia,2023
Palau,PLW,2023,Oceania,2023
Palestine,PSE,2023,Asia,2023
Panama,PAN,2023,North America,2023
Papua New Guinea,PNG,2023,Oceania,2023
Paraguay,PRY,2023,South America,2023
Peru,PER,2023,South America,2023
Philippines,PHL,2023,Asia,2023
Poland,POL,2023,Europe,2023
Portugal,PRT,2023,Europe,2023
Puerto Rico,PRI,2023,North America,2023
Qatar,QAT,2023,Asia,2023
Romania,ROU,2023,Europe,2023
Russia,RUS,2023,Europe,2023
Rwanda,RWA,2023,Africa,2023
Saint Kitts and Nevis,KNA,2023,North America,2023
Saint Lucia,LCA,2023,North America,2023
Saint Vincent and the Grenadines,VCT,2023,North America,2023
Samoa,WSM,2023,Oceania,2023
San Marino,SMR,2023,Europe,2023
Sao Tome and Principe,STP,2023,Africa,2023
Saudi Arabia,SAU,2023,Asia,2023
Senegal,SEN,2023,Africa,2023
Serbia,SRB,2023,Europe,2023
Seychelles,SYC,2023,Africa,2023
Sierra Leone,SLE,2023,Africa,2023
Singapore,SGP,2023,Asia,2023
Slovakia,SVK,2023,Europe,2023
Slovenia,SVN,2023,Europe,2023
Solomon Islands,SLB,2023,Oceania,2023
Somalia,SOM,2023,Africa,2023
South Africa,ZAF,2023,Africa,2023
South Korea,KOR,2023,Asia,2023
South Sudan,SSD,2023,Africa,2023
Spain,ESP,2023,Europe,2023
Sri Lanka,LKA,2023,Asia,2023
Sudan,SDN,2023,Africa,2023
Suriname,SUR,2023,South America,2023
Sweden,SWE,2023,Europe,2023
Switzerland,CHE,2023,Europe,2023
Syria,SYR,2023,Asia,2023
Taiwan,TWN,2023,Asia,2023
Tajikistan,TJK,2023,Asia,2023
Tanzania,TZA,2023,Africa,2023
Thailand,THA,2023,Asia,2023
Togo,TGO,2023,Africa,2023
Tonga,TON,2023,Oceania,2023
Trinidad and Tobago,TTO,2023,North America,2023
Tunisia,TUN,2023,Africa,2023
Turkey,TUR,2023,Asia,2023
Turkmenistan,TKM,2023,Asia,2023
Tuvalu,TUV,2023,Oceania,2023
Uganda,UGA,2023,Africa,2023
Ukraine,UKR,2023,Europe,2023
United Arab Emirates,ARE,2023,Asia,2023
United Kingdom,GBR,2023,Europe,2023
United States,USA,2023,North America,2023
Uruguay,URY,2023,South America,2023
Uzbekistan,UZB,2023,Asia,2023
Vanuatu,VUT,2023,Oceania,2023
Venezuela,VEN,2023,South America,2023
Vietnam,VNM,2023,Asia,2023
Western Sahara,ESH,2023,Africa,2023
Yemen,YEM,2023,Asia,2023
Zambia,ZMB,2023,Africa,2023
Zimbabwe,ZWE,2023,Africa,2023